<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAPL.US,D,20020614,000000,0.296,0.31317,0.27838,0.30921,493287667,0
AAPL.US,D,20020617,000000,0.31121,0.3171,0.30546,0.31596,376855524,0
AAPL.US,D,20020618,000000,0.31411,0.31653,0.30736,0.30978,410233310,0
AAPL.US,D,20020619,000000,0.26732,0.27075,0.25964,0.26328,1984605937,0
AAPL.US,D,20020620,000000,0.26425,0.27075,0.25936,0.26304,460475506,0
AAPL.US,D,20020621,000000,0.26084,0.26892,0.25808,0.25936,516828941,0
AAPL.US,D,20020624,000000,0.25776,0.27284,0.25688,0.26549,501453354,0
AAPL.US,D,20020625,000000,0.26762,0.2719,0.25936,0.2636,349679998,0
AAPL.US,D,20020626,000000,0.25841,0.26582,0.24579,0.25473,648916326,0
AAPL.US,D,20020627,000000,0.25808,0.26549,0.25256,0.26241,292162821,0
AAPL.US,D,20020628,000000,0.26304,0.27412,0.26151,0.27252,313292140,0
AAPL.US,D,20020701,000000,0.27252,0.27506,0.26241,0.26241,258531533,0
AAPL.US,D,20020702,000000,0.26209,0.26395,0.25871,0.26056,354308981,0
AAPL.US,D,20020703,000000,0.25841,0.2719,0.25776,0.27011,231063410,0
AAPL.US,D,20020705,000000,0.27252,0.28857,0.27252,0.28825,187667127,0
AAPL.US,D,20020708,000000,0.28483,0.2861,0.2719,0.27716,245197306,0
AAPL.US,D,20020709,000000,0.27807,0.28114,0.26859,0.26978,263244971,0
AAPL.US,D,20020710,000000,0.27252,0.27968,0.26516,0.26644,240178286,0
AAPL.US,D,20020711,000000,0.26549,0.28247,0.26084,0.28149,433820086,0
AAPL.US,D,20020712,000000,0.28548,0.28889,0.26549,0.26948,514872104,0
AAPL.US,D,20020715,000000,0.26792,0.2861,0.25841,0.28057,343633771,0
AAPL.US,D,20020716,000000,0.27902,0.2858,0.27075,0.27477,518675323,0
AAPL.US,D,20020717,000000,0.24798,0.2492,0.23353,0.24057,1411118044,0
AAPL.US,D,20020718,000000,0.23843,0.23935,0.22707,0.23071,649507882,0
AAPL.US,D,20020719,000000,0.22612,0.23323,0.22333,0.23006,447206308,0
AAPL.US,D,20020722,000000,0.22707,0.23353,0.22459,0.22944,500250595,0
AAPL.US,D,20020723,000000,0.22916,0.2329,0.22214,0.22274,464252826,0
AAPL.US,D,20020724,000000,0.22059,0.23413,0.21899,0.23383,472034888,0
AAPL.US,D,20020725,000000,0.22944,0.22976,0.21539,0.22089,556506565,0
AAPL.US,D,20020726,000000,0.22244,0.22333,0.21223,0.22059,241133935,0
AAPL.US,D,20020729,000000,0.22274,0.23233,0.22089,0.23105,319214770,0
